# {"t_start": 1551811847.1914446, "env_id": "HalfCheetah-v2"} 
r,l,t
-738.631045,1000,1.33358
-1029.590063,1000,2.659127
-668.941577,1000,5.486759
-776.501522,1000,6.867254
-634.187682,1000,9.420615
-960.037689,1000,10.455703
-722.608173,1000,13.196393
-819.343173,1000,14.547635
-836.050281,1000,17.329687
-637.433517,1000,18.479075
-870.618907,1000,21.283287
-792.229555,1000,22.421454
-713.749301,1000,25.172563
-682.160617,1000,26.391427
-726.743581,1000,28.930335
-674.097551,1000,29.988283
-604.471137,1000,32.799623
-586.923522,1000,34.12801
-695.357451,1000,36.967683
-484.139116,1000,38.126155
-500.29239,1000,40.618355
-505.018758,1000,41.644063
-779.716515,1000,44.4635
-420.525857,1000,45.762108
-455.506936,1000,48.604187
-612.21045,1000,49.71504
-668.207239,1000,52.370038
-402.773496,1000,53.746766
-525.834236,1000,56.65119
-344.936658,1000,57.901074
-646.76008,1000,60.649929
-632.474565,1000,61.742744
-553.837887,1000,64.704908
-653.501316,1000,65.985415
-473.199538,1000,68.906753
-528.293862,1000,70.117434
-522.623213,1000,72.926233
-330.54725,1000,74.238051
-272.493243,1000,76.920587
-314.826287,1000,78.061769
-379.376836,1000,80.679708
-457.75166,1000,82.03775
-386.372998,1000,83.39485
-344.255669,1000,85.951568
-429.279786,1000,86.941603
-330.089632,1000,89.563215
-421.423865,1000,90.678332
-309.204678,1000,93.3669
-389.856646,1000,94.483288
-227.234144,1000,97.064796
-360.378262,1000,98.323372
-247.51546,1000,101.018256
-143.318052,1000,102.038761
-240.019838,1000,104.482698
-316.686605,1000,105.528505
-179.404328,1000,108.288528
-292.207522,1000,109.346226
-199.787838,1000,112.243992
-135.402841,1000,113.353366
-346.757169,1000,116.019224
-254.925942,1000,117.131859
-230.670071,1000,119.975424
-93.134686,1000,121.008425
-155.358539,1000,123.709482
-459.775127,1000,125.042636
-209.748252,1000,127.686717
-205.88999,1000,128.86266
-97.478335,1000,131.646174
-19.910906,1000,132.718142
-28.347094,1000,135.362876
75.575926,1000,136.67647
-331.873938,1000,139.537606
-164.477697,1000,140.63343
-143.533361,1000,143.289162
-62.544776,1000,144.635612
-146.870654,1000,147.510051
-43.261984,1000,148.883988
-165.548579,1000,151.790285
4.865608,1000,153.149616
-33.800872,1000,155.856578
93.396377,1000,157.21932
-269.591335,1000,160.034975
-67.667915,1000,161.30416
-328.812422,1000,164.252477
104.662574,1000,165.389257
96.735319,1000,166.280506
160.387173,1000,168.887291
81.048994,1000,169.89807
184.226005,1000,172.621955
154.131664,1000,173.942728
0.110117,1000,176.485517
141.690292,1000,177.776183
266.668155,1000,180.466517
152.502538,1000,181.612596
-0.69141,1000,184.537528
121.164085,1000,185.805641
274.353799,1000,188.721688
123.303584,1000,189.822331
167.4745,1000,192.475703
18.451307,1000,193.57826
130.366945,1000,196.345824
500.89472,1000,197.483566
355.311164,1000,200.23623
274.371987,1000,201.35886
295.084703,1000,204.108268
321.544955,1000,205.465281
412.497029,1000,208.040596
299.629484,1000,209.167087
537.70578,1000,211.791439
354.796458,1000,212.834869
454.106696,1000,215.609072
425.028873,1000,216.74469
358.422533,1000,219.418385
514.140361,1000,220.451617
291.056092,1000,222.964542
748.381081,1000,224.041098
-472.357967,1000,226.631585
-248.762877,1000,227.96508
570.819688,1000,230.609927
458.844917,1000,231.546313
492.502017,1000,234.408181
-238.939917,1000,235.519367
666.334056,1000,238.189229
533.700011,1000,239.332988
539.632701,1000,241.981312
624.180549,1000,243.223212
758.877483,1000,246.055026
610.473496,1000,247.364661
857.155358,1000,248.574979
728.454735,1000,251.432669
718.073642,1000,252.580777
347.439566,1000,255.207728
829.931176,1000,256.548911
773.784789,1000,259.344004
486.695722,1000,260.669876
703.569084,1000,263.45465
866.102926,1000,264.524676
751.092242,1000,267.468692
874.259394,1000,268.568084
