# {"t_start": 1551811847.444893, "env_id": "Hopper-v2"} 
r,l,t
7.791646,10,0.024832
13.857601,17,0.051792
12.151184,15,0.075214
15.769193,18,0.103585
9.503753,16,0.129039
9.275711,20,0.160737
15.869108,20,0.192581
20.436351,24,0.230547
7.268144,14,0.252948
11.3814,23,0.289558
10.121537,12,0.308428
6.740959,10,0.324093
20.146272,28,0.368477
11.087327,22,0.403071
9.239246,22,0.437787
19.374331,25,0.477595
11.252965,20,0.509704
14.138642,21,0.543421
9.423132,11,0.560915
15.835562,24,0.599107
8.382364,11,0.616559
10.3813,20,0.648873
16.163327,20,0.681247
9.354662,21,0.714667
9.480803,11,0.732358
8.419963,10,0.748195
12.747236,15,0.771676
7.425683,9,0.785932
10.915731,21,0.819323
16.689122,28,0.863721
15.114311,21,0.897018
9.533266,23,0.933333
13.351919,17,0.960519
15.971768,21,0.994392
13.754297,23,1.031119
10.264619,28,1.075008
15.034478,24,1.113204
8.970043,13,1.133674
12.336134,14,1.156084
15.696913,22,1.191215
7.221099,9,1.205596
12.505023,22,1.240374
15.590479,18,1.269141
8.772792,19,1.299137
14.365444,26,1.342763
15.701091,17,1.369626
7.05664,9,1.383878
15.375955,23,1.420505
7.826022,14,1.442953
12.452982,22,1.477578
6.150253,8,1.488465
14.567743,19,1.515206
21.348392,27,1.551609
15.95193,21,1.5816
6.790002,11,1.597102
9.791759,21,1.625546
13.499179,22,1.654545
13.871786,19,1.681262
14.899699,23,1.710133
10.940848,25,1.743853
15.354237,17,1.768219
11.155813,24,1.800795
11.719546,24,1.832512
11.631765,22,1.864326
15.234251,16,1.887181
18.097397,20,1.914928
7.561828,9,1.927631
9.588212,22,1.957014
12.291592,15,1.974397
6.821324,11,1.989494
9.18495,20,2.01416
15.967624,17,2.033734
9.094253,20,2.06117
11.661103,24,2.094453
9.412079,11,2.109022
10.515844,13,2.12408
12.059723,14,2.139042
13.122371,22,2.164635
10.895827,22,2.194789
6.377179,9,2.20712
9.805968,16,2.227603
18.826782,24,2.257432
13.96832,22,2.287686
11.639817,16,2.309107
12.635343,15,2.328862
19.677534,23,2.355958
15.003918,18,2.374367
8.440197,10,2.386581
7.046958,10,2.399661
8.680154,21,2.428238
10.381755,25,2.462318
11.623766,13,2.479484
14.353885,23,2.510062
9.811922,11,2.524735
14.544874,26,2.559433
15.329557,23,2.590254
8.222661,10,2.602683
10.150083,25,2.63414
5.417074,8,2.644059
10.853902,26,2.675603
11.48753,24,2.708522
8.556934,10,2.721197
12.237535,14,2.737647
14.843632,20,2.762975
8.24503,10,2.776784
13.707023,21,2.804993
16.285075,23,2.831198
10.144499,31,2.87085
21.494765,25,2.90479
10.531919,26,2.937515
22.526939,30,4.665544
9.738814,11,4.680571
15.208027,22,4.710539
14.09384,17,4.733608
12.169292,23,4.76424
17.124941,26,4.79744
10.438881,14,4.811978
11.246052,21,4.839879
10.166091,19,4.863345
9.73696,25,4.891239
10.990025,13,4.908854
11.339984,22,4.938833
8.378026,10,4.952725
13.318844,16,4.974748
14.13309,16,5.000037
19.445674,24,5.038435
14.02902,24,5.077219
