# {"t_start": 1551811846.0264087, "env_id": "Reacher-v2"} 
r,l,t
-135.309021,50,0.063322
-134.598663,50,0.125439
-155.876265,50,0.187537
-136.699193,50,0.250049
-170.688891,50,0.312344
-130.446969,50,0.374474
-135.453619,50,0.433666
-137.566132,50,0.490147
-133.875772,50,0.546459
-139.073248,50,0.603247
-131.976531,50,0.659893
-130.594546,50,0.716531
-113.381085,50,0.772415
-129.080924,50,0.829642
-147.304579,50,0.884966
-110.026664,50,0.941312
-140.563982,50,0.995985
-113.394795,50,1.049852
-125.931478,50,1.098478
-141.712969,50,1.155389
-181.710343,50,1.220322
-136.948852,50,1.286128
-94.559718,50,1.351077
-162.638686,50,1.415776
-185.522389,50,1.480674
-132.172758,50,1.545765
-128.955703,50,1.612961
-152.367759,50,1.678385
-145.981754,50,1.743601
-159.941732,50,1.808448
-130.945118,50,1.87375
-131.400883,50,1.938823
-131.227464,50,2.003975
-118.387137,50,2.068799
-107.369051,50,2.134089
-116.595282,50,2.199238
-133.026192,50,2.26422
-119.602437,50,2.329099
-124.396538,50,2.393917
-122.792573,50,2.459055
-144.395596,50,4.191133
-130.396771,50,4.245682
-143.330188,50,4.302525
-125.644762,50,4.367536
-149.132919,50,4.433956
-106.850087,50,4.498939
-155.738166,50,4.565527
-110.015696,50,4.632503
-123.41264,50,4.697885
-162.964145,50,4.764659
-152.580269,50,4.831826
-103.173332,50,4.898102
-122.049473,50,4.96334
-103.273908,50,5.028805
-118.665334,50,5.095367
-112.191744,50,5.160296
-145.587759,50,5.231224
-126.032771,50,5.297237
-165.318457,50,5.361851
-101.854257,50,5.426455
-117.719091,50,5.491206
-103.647901,50,5.556832
-96.848483,50,5.622899
-99.765778,50,5.689416
-140.050967,50,5.754303
-114.852749,50,5.818626
-131.447191,50,5.884907
-109.321384,50,5.955852
-126.708784,50,6.022295
-102.505599,50,6.087615
-116.00473,50,6.154082
-108.951509,50,6.219201
-136.001491,50,6.283982
-146.072174,50,6.348048
-127.377448,50,6.414191
-170.989962,50,6.480404
-179.7125,50,6.546379
-146.772945,50,6.610438
-160.625918,50,6.674401
-168.81931,50,6.738391
-166.890874,50,6.802371
-118.633654,50,8.46656
-146.514454,50,8.534385
-145.522722,50,8.59967
-139.050909,50,8.664829
-127.61352,50,8.729681
-132.558902,50,8.79484
-122.462787,50,8.86026
-132.155675,50,8.930607
-127.366212,50,8.997357
-107.051782,50,9.062782
-126.731784,50,9.128097
-144.127025,50,9.193594
-101.321594,50,9.258807
-117.682845,50,9.32409
-107.719436,50,9.389338
-121.920103,50,9.454521
-119.862442,50,9.519927
-104.017618,50,9.585584
-133.616116,50,9.650873
-105.228728,50,9.716178
-134.834516,50,9.78149
-132.63695,50,9.847024
-87.373445,50,9.912307
-122.465853,50,9.977831
-121.784468,50,10.043333
-137.749678,50,10.108766
