# {"t_start": 1551811844.6788425, "env_id": "Walker2d-v2"} 
r,l,t
1.629582,14,0.045655
-2.498205,23,0.069862
2.475217,15,0.084144
6.378755,24,0.106705
2.753965,14,0.120006
-1.442033,14,0.133754
-1.762457,10,0.143456
2.563453,13,0.155817
8.364435,21,0.177796
-1.760317,16,0.199317
-0.498611,16,0.223736
-6.639555,31,0.272074
5.742722,16,0.296873
-1.814872,19,0.325672
1.163682,23,0.360896
6.279062,28,0.403494
3.313394,18,0.431416
7.789033,22,0.46606
1.410147,14,0.488268
0.286917,24,0.525354
3.487934,17,0.551944
-1.149608,14,0.572931
0.936882,34,0.619213
2.351856,15,0.643274
4.016932,17,0.669688
3.722609,20,0.701712
1.690292,14,0.724033
-3.321267,10,0.740265
-2.314127,12,0.759198
-2.448583,18,0.787618
-3.340108,14,0.809179
2.669927,14,0.831065
3.261142,18,0.858854
3.203371,20,0.890758
-1.435763,16,0.916028
5.705545,20,0.946963
5.161212,19,0.974983
6.264437,21,1.006466
1.84095,15,1.029186
2.840145,18,1.057161
4.550323,19,1.086632
0.3398,13,1.107187
10.022757,24,1.144776
0.374635,11,1.162075
4.490799,18,1.189912
7.438318,23,1.226132
-3.680198,11,1.24361
0.459944,13,1.263269
3.838438,14,1.280972
10.067776,29,1.308103
-0.82117,16,1.323377
3.603826,20,1.345173
-1.516718,15,1.36904
-2.974917,9,1.383613
-0.324701,23,1.418299
-5.996844,17,1.442071
1.643329,16,1.464473
5.14003,14,1.484217
-1.285209,16,1.50976
3.948712,14,1.531678
6.387597,30,1.579848
-5.370846,21,1.613179
9.522304,29,1.659051
-3.710321,16,1.684565
-2.955199,28,1.728827
4.041141,15,1.752713
0.694089,21,1.788187
4.613903,17,1.815234
2.686848,21,1.844826
5.682346,20,1.872879
2.398904,16,1.895782
6.621675,26,1.932496
8.741784,21,1.96316
-10.793915,39,2.01751
2.767793,16,2.041046
9.318624,19,2.069246
4.97501,23,2.101314
2.175237,14,2.120705
-0.639478,15,2.141725
-5.256938,20,2.169683
-1.72066,18,2.194833
-0.069851,21,2.224146
13.995439,28,2.263364
4.895883,22,2.294239
1.866307,31,2.337643
2.43898,17,2.358943
4.220635,24,2.381509
0.135155,16,2.396681
-0.802219,12,2.409415
1.453835,12,2.420774
0.3453,16,2.435566
-2.296265,16,2.4506
4.7014,18,2.467266
1.514715,19,2.48502
-1.744628,14,2.498048
-3.480803,11,2.508301
4.309273,20,2.527069
1.408972,17,2.543107
0.315936,20,2.561572
2.088456,14,2.574674
-5.930766,13,2.58684
0.363736,16,2.601928
-3.82909,15,2.617059
2.800425,22,2.647321
2.339786,16,2.669936
3.112748,19,2.696717
-6.149959,20,2.724507
0.692206,23,2.755852
2.205608,16,2.780029
-9.050459,34,2.826635
4.038079,24,4.464841
1.494828,24,4.505097
-0.852749,19,4.536738
0.884934,19,4.568372
1.728108,14,4.591437
6.803309,20,4.624466
13.992119,26,4.666205
4.575145,29,4.713362
0.776843,17,4.741527
0.73255,20,4.77545
1.354215,16,4.802277
-0.913746,15,4.827672
4.367493,21,4.862181
-5.515806,11,4.880597
1.41092,16,4.907235
2.924337,14,4.930171
9.348669,26,4.971895
3.59624,19,5.004102
3.498712,16,5.030366
5.468443,30,5.079645
1.825694,20,5.113915
1.438207,16,5.140655
5.326397,17,5.169483
-0.203305,15,5.194408
0.55302,15,5.219245
15.892264,30,5.269008
2.998291,25,5.310283
1.026947,16,5.337254
2.520424,17,5.365768
2.174444,14,5.389373
-4.616852,15,5.413895
3.741556,18,5.443312
1.844074,16,5.469985
4.483991,24,5.509957
2.020963,17,5.538007
3.328691,21,5.572862
7.920375,26,5.615846
-0.190488,14,5.639253
-2.103846,24,5.678658
2.156144,16,5.706139
-1.909492,13,5.727547
0.696048,14,5.750495
5.623885,21,5.784957
4.246454,23,5.823252
6.644548,34,5.878532
1.593364,15,5.903408
15.366094,30,5.952779
1.784873,17,5.980652
-4.878268,17,6.004153
-6.659825,20,6.030045
10.837546,25,6.06403
0.471531,18,6.090819
-1.794179,11,6.10585
2.481213,15,6.127074
5.219525,18,6.153667
0.706424,17,6.178101
2.312741,17,6.202582
0.013402,23,6.235322
8.167466,25,6.27189
-1.756466,19,6.300534
0.244981,13,6.318671
-0.13364,16,6.344285
10.078051,25,6.390063
1.557858,21,6.42647
9.006372,30,6.476016
-0.281669,14,6.499299
1.659512,13,6.521302
3.261436,17,6.549578
13.974763,27,6.594351
-2.355017,14,6.617607
2.47054,14,6.64102
1.236999,22,6.677757
1.646706,28,6.723641
1.310376,18,6.753725
9.313044,25,6.794426
-0.67952,16,6.820708
1.714917,18,6.850401
-1.957846,10,6.867057
2.661915,22,6.903567
2.487785,16,6.930286
-0.17915,26,6.973053
5.410492,15,6.997985
-1.093836,11,7.016217
1.867562,13,7.038059
-2.512221,21,7.072666
4.902527,16,7.099271
-1.622831,15,7.124784
-1.836526,14,7.148796
0.693351,18,7.179019
2.335412,13,7.200891
0.525674,24,7.240793
1.901716,14,7.26396
2.972697,29,7.31169
1.935541,15,7.336898
3.847438,17,7.365558
9.596071,24,7.405032
7.286855,24,7.444616
-5.668977,47,7.52177
4.934813,16,7.548604
5.383953,19,7.58092
2.454377,23,7.61928
6.534939,22,7.655539
0.733258,23,7.693615
-0.928366,20,7.726322
2.135756,17,7.754959
0.873234,21,9.19809
-1.836783,23,9.225999
5.499402,22,9.257787
2.439798,21,9.286918
5.168836,17,9.310965
-0.308241,16,9.333729
16.086543,34,9.369387
-0.032675,22,9.396958
1.182676,21,9.421667
5.177407,26,9.456198
-1.794043,20,9.482508
2.523383,17,9.504581
2.194981,22,9.531796
11.936606,22,9.558883
5.062088,21,9.582201
-8.314981,13,9.596953
1.052206,15,9.615068
3.678417,22,9.64594
1.726711,15,9.667656
1.669103,12,9.685478
-0.40352,14,9.705735
3.818429,17,9.730466
5.493131,26,9.767371
0.499531,17,9.792424
9.453711,33,9.838748
3.084294,20,9.869512
2.667936,15,9.898529
6.363775,23,9.938582
2.52923,25,9.979955
1.898931,24,10.01973
7.112148,49,10.100499
18.605113,43,10.171628
2.823724,20,10.20561
1.488627,22,10.242198
6.899387,18,10.272147
2.488697,12,10.292155
1.540087,21,10.327399
1.4171,13,10.349322
-1.875253,10,10.366081
-0.597883,13,10.388164
4.063635,18,10.417771
-3.002866,22,10.454233
1.332033,14,10.477847
9.898259,26,10.521555
2.876928,18,10.551913
3.542892,19,10.58356
2.300376,18,10.613958
1.997307,16,10.640443
5.338773,19,10.672477
8.894411,25,10.714743
6.361655,25,10.756487
3.482207,14,10.779911
0.542652,21,10.814899
8.295395,37,10.876857
1.795344,22,10.913414
1.440219,23,10.952004
-0.336382,12,10.972189
1.610091,16,10.999269
5.165207,16,11.025991
16.409047,34,11.082846
4.702445,19,11.115078
4.338486,24,11.155404
1.805382,17,11.183973
12.220425,25,11.22596
5.640392,25,11.267345
7.983721,32,11.320626
4.555991,17,11.349235
12.363618,32,11.401997
-4.752402,11,11.420688
0.933474,14,11.444493
6.362113,19,11.477259
1.54078,19,11.509268
-3.43914,18,11.539499
22.870955,32,11.593002
0.663518,16,11.620102
8.071598,18,11.650211
-0.808121,17,11.679293
21.809652,38,11.742883
-2.925267,22,11.779594
3.378349,23,11.818501
8.939659,25,11.860285
0.013848,13,11.882134
5.379217,31,11.933496
15.750354,36,11.997154
6.117111,19,12.030511
7.513929,28,12.077429
-1.102149,40,12.143266
2.077207,19,12.175191
3.464665,19,12.207177
4.941128,23,12.245704
3.951481,13,12.267372
5.71799,42,12.336434
6.604439,21,12.371532
1.928705,13,12.39386
-0.616173,17,12.42283
0.017768,15,14.17637
4.910549,23,14.208226
12.345249,26,14.244766
2.717712,17,14.269257
12.255351,47,14.335001
10.982398,25,14.368477
6.041359,21,14.394426
40.47543,66,14.478927
5.595502,21,14.508736
16.886623,41,14.562746
7.374647,28,14.599035
3.740067,19,14.623964
3.659614,22,14.652383
7.291852,28,14.691959
11.747393,29,14.738231
4.70468,18,14.76741
3.842913,20,14.801122
-0.52135,12,14.821549
3.922514,15,14.845889
4.413859,17,14.877992
2.613032,15,14.903962
7.102847,24,14.943117
21.519615,36,15.000942
0.317659,19,15.032206
4.802681,25,15.07309
4.391714,20,15.10576
6.225577,30,15.154642
3.442031,23,15.192472
-4.056372,39,15.254996
4.363093,25,15.29566
0.888449,22,15.332109
3.030845,19,15.363468
-1.434067,16,15.389537
6.294172,23,15.427166
2.106964,19,15.458162
10.85237,35,15.51514
12.156962,29,15.563428
0.253779,29,15.60988
-4.024477,87,15.748451
25.941978,38,15.810316
0.952494,11,15.828415
5.27166,24,15.867216
4.908695,57,15.958993
3.595993,21,15.99322
5.903691,25,16.033505
27.814982,42,16.101895
6.784357,20,16.134461
1.922234,18,16.163748
0.982607,19,16.194832
25.240627,37,16.255638
0.916489,24,16.294855
5.601552,16,16.320947
2.351623,25,16.361424
3.143211,40,16.426216
6.645857,22,16.462252
10.891983,20,16.495069
5.216777,20,16.527366
10.094726,25,16.568408
10.472395,33,16.622066
-0.472025,16,16.648217
11.322608,27,16.691688
-0.418892,13,16.712815
-2.817923,10,16.729055
4.159398,16,16.755331
3.615458,18,16.784813
14.712382,33,16.83799
11.413038,28,16.883796
5.925101,21,16.917741
12.378697,31,16.967983
16.741435,31,17.017722
22.679396,45,17.090412
12.365786,24,17.129333
11.757418,38,17.191086
3.572475,14,17.213883
15.487003,25,17.254328
14.019247,29,17.30115
7.068645,24,17.340477
6.093562,31,17.39049
7.238429,22,19.015915
1.793464,20,19.046877
8.292672,21,19.077061
8.516987,30,19.119724
18.698397,32,19.162707
8.117239,38,19.21061
20.5617,42,19.278997
9.128404,30,19.328723
7.700772,27,19.3732
8.234789,29,19.420843
-1.838889,19,19.452211
-0.323602,37,19.512845
17.620828,32,19.565058
7.488096,25,19.6064
6.23855,24,19.646067
11.669574,35,19.703603
19.47455,35,19.761398
64.351189,65,19.867518
0.288759,21,19.902819
-0.8098,38,19.96506
6.300025,36,20.023797
10.617884,37,20.084707
0.658274,32,20.13751
2.450371,19,20.168947
15.306961,39,20.232631
12.398746,37,20.293572
16.657059,29,20.341396
13.697594,32,20.394095
-0.515813,20,20.427377
2.781745,14,20.450723
11.446188,26,20.493669
3.997818,21,20.528009
4.525191,16,20.554507
8.836005,27,20.599066
-1.902048,21,20.635625
6.362179,18,20.665537
16.918852,36,20.724464
27.270422,49,20.804561
5.300072,25,20.846349
17.276457,56,20.93857
4.902099,22,20.975079
5.605582,24,21.014803
10.323514,52,21.10011
11.310414,24,21.139687
0.094828,18,21.169327
47.447924,61,21.26812
5.714679,28,21.313773
26.077865,52,21.398734
8.474979,28,21.444641
5.601987,17,21.472775
3.013875,25,21.514054
-4.537908,20,21.546826
16.234951,39,21.61108
3.981092,16,21.637608
5.72786,25,21.678896
13.408381,26,21.721573
6.245019,44,21.798663
7.22858,29,21.84761
20.962932,35,21.904969
7.594586,26,21.947382
9.518409,27,21.991268
14.586656,28,22.037252
3.029782,13,22.058707
14.799047,47,22.133945
3.637136,20,22.162056
0.540537,18,22.187197
2.872542,28,22.226059
4.421903,18,22.251625
11.572842,43,23.76484
8.152447,32,23.811838
22.691649,39,23.867579
5.074368,21,23.896884
25.968513,43,23.958643
2.477041,29,24.000353
5.61152,23,24.032411
12.886185,33,24.077506
4.950791,22,24.107419
8.5524,22,24.136891
19.086624,46,24.200657
5.396929,33,24.249412
4.458881,20,24.277816
4.60265,16,24.301831
7.475029,28,24.341929
20.307992,48,24.404654
16.55409,26,24.440341
3.954785,18,24.466066
46.657324,69,24.553995
2.147257,24,24.586287
28.212737,49,24.651362
0.199254,19,24.677028
-1.585435,10,24.690718
1.445616,26,24.724831
14.963234,25,24.759818
9.939152,35,24.808906
88.605442,103,24.94346
6.795509,35,24.993221
11.283492,25,25.034364
-0.667346,14,25.058036
15.099846,39,25.121837
3.858674,23,25.160109
14.795877,46,25.235975
8.976146,30,25.285558
41.681013,78,25.413097
6.920497,29,25.461458
20.366724,29,25.508754
15.890603,31,25.560321
5.890106,21,25.595287
18.836085,44,25.666866
19.91003,45,25.715146
7.059622,26,25.740212
-1.754861,19,25.75824
29.149515,50,25.804597
7.139257,22,25.825449
-2.493418,49,25.870986
14.29821,29,25.898328
60.329008,75,25.967584
27.318236,75,26.036586
6.186423,34,26.068652
6.873174,48,26.115865
29.920292,48,26.165523
17.717555,37,26.200202
9.359052,27,26.225528
3.244966,17,26.241602
11.647538,38,26.27756
6.536225,31,26.306641
6.457389,31,26.340322
9.93316,31,26.374788
18.459031,42,27.864075
18.813185,41,27.920467
23.029886,40,27.973254
62.999761,80,28.082208
2.75559,21,28.109745
11.368911,49,28.17509
43.529362,57,28.246576
3.398399,15,28.267453
15.860149,36,28.316104
8.368987,26,28.350126
-0.994928,37,28.403127
29.30251,39,28.456245
4.551421,20,28.482808
5.003111,22,28.51876
7.104638,24,28.559033
10.935919,41,28.625843
18.37268,35,28.683285
21.846701,46,28.759038
14.96985,41,28.826994
8.879956,28,28.873659
12.058411,28,28.919456
12.514848,31,28.971444
3.651534,22,29.00811
10.277809,41,29.075622
11.852814,27,29.1202
19.009832,34,29.176301
34.403171,82,29.309128
6.665151,24,29.348968
13.23629,30,29.398668
26.815194,81,29.530719
29.753316,53,29.589858
4.269586,22,29.610958
8.205098,19,29.628667
6.524613,16,29.643855
33.262594,46,29.686268
13.694159,39,29.722638
96.480384,83,29.799314
11.046537,24,29.822086
121.907902,123,29.949084
121.23409,111,30.064942
5.794292,22,30.088449
14.401208,44,30.134471
7.541309,28,30.164559
25.423712,37,30.203413
43.574567,60,30.28154
12.147275,26,30.318182
14.68643,27,30.356293
29.931586,49,30.421179
7.793523,22,30.444762
16.205952,30,30.476676
17.27628,38,32.042425
28.166837,81,32.161685
20.106356,44,32.231265
31.253257,59,32.325386
199.821638,167,32.586853
8.978289,79,32.712022
45.826341,76,32.832951
14.476885,32,32.881239
20.863129,46,32.953597
11.237232,29,32.996202
17.838959,32,33.044153
6.504996,31,33.089607
39.843368,103,33.229613
35.972729,57,33.303062
13.19993,28,33.344837
26.399547,50,33.426139
33.113639,50,33.493145
34.50387,53,33.554662
26.566012,51,33.609637
12.73986,59,33.681458
10.858466,35,33.724442
4.914758,16,33.74429
29.765068,91,33.854228
118.661325,137,34.069718
12.148096,29,34.115888
46.275601,78,34.238996
8.46036,26,34.280611
11.190099,30,34.328454
35.676736,59,34.422596
26.057278,68,34.527164
50.801685,94,34.670989
15.269507,31,34.720782
11.534485,27,34.764191
12.626758,41,34.830223
36.653572,56,34.920939
197.29997,151,36.71809
25.869371,50,36.782812
54.912526,67,36.872939
13.922345,59,36.952466
17.973801,32,36.989424
-1.586694,11,37.005534
15.498729,34,37.0496
187.445262,136,37.237879
39.58803,74,37.332931
11.404869,22,37.356465
18.835884,34,37.397753
8.61147,35,37.442417
52.903235,73,37.533216
6.492818,50,37.599746
17.626485,52,37.67193
55.160218,86,37.790878
9.487493,42,37.849488
23.101323,72,37.950008
5.580725,21,37.980206
33.004521,54,38.044635
291.368747,213,38.312073
22.660591,45,38.375464
18.586539,42,38.434867
5.546035,22,38.466887
24.577732,40,38.523625
73.451812,96,38.646409
1.093656,18,38.672767
5.99658,16,38.69492
23.452439,39,38.743779
9.377054,24,38.774411
25.485775,71,38.857819
63.303599,87,38.960399
7.627085,20,38.986212
15.46783,27,39.022791
102.106367,148,39.225979
19.49311,46,39.292608
33.118722,70,40.952083
212.441065,124,41.15593
18.928739,64,41.262126
86.997333,121,41.461925
17.286902,88,41.607256
99.771639,114,41.792989
60.088187,101,41.960574
30.273607,55,42.052009
17.513852,34,42.108345
155.649901,123,42.310122
28.173957,44,42.383215
76.967905,84,42.522525
1.231566,19,42.554941
32.062318,73,42.675057
5.513602,72,42.793819
110.707917,174,43.081534
220.23624,144,43.318212
