# {"t_start": 1551811846.377213, "env_id": "HalfCheetah-v2"} 
r,l,t
-784.186649,1000,0.797945
-860.457077,1000,1.94096
-712.266549,1000,4.478464
-763.896203,1000,5.748384
-747.872326,1000,8.436524
-634.410456,1000,9.583512
-726.142417,1000,12.412686
-808.681279,1000,13.555315
-895.128243,1000,16.480425
-626.737843,1000,17.703743
-727.462001,1000,20.408437
-722.707672,1000,21.293125
-664.308069,1000,23.757789
-757.198379,1000,24.903422
-721.407699,1000,27.224463
-798.112844,1000,28.567877
-672.282794,1000,31.525031
-749.55201,1000,32.713422
-687.787256,1000,35.554278
-591.670463,1000,36.909653
-724.749531,1000,39.525664
-626.021874,1000,40.663746
-710.359741,1000,43.154672
-486.600888,1000,44.291319
-805.770844,1000,46.842903
-630.282401,1000,48.191878
-580.732907,1000,50.786135
-605.611453,1000,51.892937
-626.592958,1000,54.612097
-644.557054,1000,55.895952
-549.763956,1000,58.793828
-466.08096,1000,60.1283
-577.331532,1000,63.048666
-507.265576,1000,64.095766
-606.638353,1000,66.688146
-642.334175,1000,68.029252
-467.953685,1000,70.694668
-523.015369,1000,71.794833
-549.562756,1000,74.597052
-483.012479,1000,75.932069
-437.001768,1000,78.498048
-433.973037,1000,79.597642
-525.398109,1000,80.696116
-417.890579,1000,83.547173
-280.823899,1000,84.803524
-462.014168,1000,87.644981
-464.165063,1000,88.993093
-456.143482,1000,91.888484
-369.105047,1000,93.113941
-461.317194,1000,95.805805
-382.143154,1000,96.914314
-324.975361,1000,99.816875
-331.902626,1000,100.983889
-408.375647,1000,103.709125
-444.003403,1000,104.929834
-258.911259,1000,107.717405
-548.090645,1000,109.069019
-300.223029,1000,111.877198
-334.011154,1000,113.128363
-361.166657,1000,115.948451
-245.269047,1000,116.959145
-315.00338,1000,119.75889
-388.228487,1000,121.112797
-396.880377,1000,123.907739
-341.423399,1000,125.249039
-325.132215,1000,127.936135
-283.659109,1000,129.004141
-260.037519,1000,131.613768
-241.913704,1000,132.6986
-224.653548,1000,135.374519
-337.665536,1000,136.346802
-282.929308,1000,138.877323
-158.814197,1000,140.227678
-164.962505,1000,143.140157
-257.098587,1000,144.404504
-588.099558,1000,147.063267
-83.801123,1000,148.147549
-133.032138,1000,150.698102
-179.984409,1000,151.783177
-12.642404,1000,154.346288
-71.261024,1000,155.683602
-159.53357,1000,158.360249
-148.966337,1000,159.704345
-469.367324,1000,162.360843
-159.210414,1000,163.494463
-81.470862,1000,164.653219
-90.387031,1000,167.535844
-29.804659,1000,168.708426
-56.950442,1000,171.734113
14.210105,1000,173.003746
5.603591,1000,175.814886
-17.335482,1000,177.046057
-84.000539,1000,179.950397
-150.227028,1000,181.294408
87.524311,1000,183.919739
-446.691238,1000,185.05158
-135.046083,1000,187.667637
139.812802,1000,189.027887
71.047135,1000,191.853724
91.59726,1000,193.007457
236.163376,1000,195.762911
136.439564,1000,197.1356
194.849787,1000,200.005154
3.259516,1000,201.352028
224.777504,1000,204.212676
299.79047,1000,205.518394
345.802583,1000,208.330788
