# {"t_start": 1551815720.98847, "env_id": "HalfCheetah-v2"} 
r,l,t
-747.478745,1000,0.843448
-811.571782,1000,1.647484
-642.832931,1000,4.108392
-1067.080358,1000,5.429883
-796.323962,1000,8.296329
-795.208532,1000,9.489337
-730.446305,1000,12.432962
-705.705113,1000,13.572406
-871.459372,1000,16.196866
-840.015537,1000,17.55302
-662.497588,1000,20.519531
-786.248307,1000,21.766423
-728.081277,1000,24.373122
-719.875542,1000,25.555561
-610.683327,1000,28.287576
-851.560436,1000,29.622868
-810.059957,1000,32.275793
-618.34109,1000,33.333786
-610.022095,1000,36.267649
-733.137741,1000,37.674604
-623.159113,1000,40.492857
-747.477767,1000,41.708102
-646.22395,1000,44.553751
-661.468839,1000,45.677206
-578.478659,1000,48.372564
-603.79279,1000,49.294327
-724.592515,1000,51.784218
-641.643136,1000,52.696273
-534.283933,1000,55.614966
-725.602391,1000,56.936395
-548.585203,1000,60.003635
-532.862502,1000,61.160419
-353.508349,1000,63.87655
-558.228868,1000,65.234478
-481.410197,1000,67.745015
-527.963717,1000,68.794539
-499.232804,1000,71.647994
-617.211456,1000,72.895058
-548.150699,1000,75.499657
-507.831648,1000,76.643841
-403.019261,1000,79.497456
-471.878004,1000,80.583784
-482.799608,1000,81.75612
-515.906797,1000,84.856029
-465.363275,1000,86.206911
-434.952416,1000,88.991207
-516.820924,1000,90.367167
-546.316299,1000,93.384499
-575.349382,1000,94.664422
-452.744889,1000,97.269386
-383.544904,1000,98.525423
-349.367671,1000,101.244556
-494.202868,1000,102.344291
-366.43549,1000,104.955402
-328.501926,1000,106.209261
-430.679876,1000,109.276178
-346.838945,1000,110.416851
-344.826963,1000,113.498896
-400.171573,1000,115.078444
-269.587513,1000,117.997679
-371.411611,1000,119.347249
-383.211917,1000,121.971452
-339.910813,1000,123.111042
-373.140701,1000,126.045447
-336.173637,1000,127.119949
-325.047611,1000,129.714582
-329.105467,1000,131.091574
-331.376626,1000,134.061373
-169.886435,1000,135.436433
-304.745066,1000,138.271227
-130.767987,1000,139.42361
-213.010008,1000,142.098151
-226.554448,1000,143.405061
-142.999435,1000,146.2938
-79.364554,1000,147.595397
-151.55257,1000,150.332771
-64.295791,1000,151.664074
-76.106034,1000,154.563003
-99.978097,1000,155.895487
-35.147047,1000,158.774301
-245.589577,1000,160.12267
-185.836448,1000,162.986491
-107.182358,1000,164.283839
-32.6007,1000,166.814978
-48.89374,1000,168.066197
27.251241,1000,169.011395
46.784534,1000,171.717456
-32.808917,1000,173.089625
-76.058589,1000,175.773972
71.178745,1000,176.872757
64.506717,1000,179.612558
-39.212718,1000,181.014944
105.098075,1000,183.703053
92.475822,1000,184.779956
129.080249,1000,187.515974
-375.634217,1000,188.827968
194.399508,1000,191.335972
204.666131,1000,192.358748
24.834583,1000,194.986064
183.737392,1000,196.347461
176.434947,1000,199.121927
277.759336,1000,200.202775
257.857665,1000,202.623971
-30.675197,1000,203.507142
339.748305,1000,205.948403
-547.466406,1000,207.222298
266.539318,1000,210.169715
290.95819,1000,211.525686
352.463122,1000,214.306979
259.506413,1000,215.662935
388.680468,1000,218.577785
373.066158,1000,219.930287
433.614185,1000,222.622046
221.997658,1000,223.706323
333.171352,1000,226.429519
437.57832,1000,227.71842
358.952797,1000,230.192555
442.734788,1000,231.256523
406.063394,1000,233.871315
495.539571,1000,235.184123
397.452492,1000,238.004803
343.433954,1000,239.14945
526.065344,1000,242.053957
442.915305,1000,243.173251
425.046205,1000,246.073626
458.77284,1000,247.316943
502.865831,1000,249.851887
485.120411,1000,250.973174
500.88618,1000,252.312844
459.013611,1000,255.305386
498.918423,1000,256.523875
599.470263,1000,259.389851
