# {"t_start": 1551815722.7026527, "env_id": "Hopper-v2"} 
r,l,t
55.808757,39,0.069917
59.898054,36,0.125101
6.904292,9,0.139188
6.300295,10,0.154618
64.071082,37,0.211256
4.966424,10,0.227406
5.259456,9,0.241436
4.629634,7,0.252586
8.421752,12,0.270854
5.744274,8,0.283364
12.097864,20,0.314151
25.39148,31,0.36243
4.495827,8,0.375166
6.594069,10,0.390958
7.548239,10,0.406364
85.048426,62,0.502637
6.609901,10,0.518417
6.835103,9,0.532456
10.538715,17,0.558763
6.192773,12,0.577688
4.969732,8,0.590199
8.81177,12,0.608442
4.748313,8,0.621022
5.538572,9,0.635212
7.010648,10,0.650949
9.983871,22,0.685108
5.531209,9,0.699209
10.952237,14,0.721064
8.05222,17,0.747487
5.560605,8,0.760057
8.907142,18,0.788259
9.444078,13,0.808314
6.860496,12,0.82741
89.56981,77,0.943884
6.336202,10,0.959844
8.922324,12,0.978471
10.121263,12,0.996814
80.939953,51,1.075372
7.717236,19,1.10502
6.598829,10,1.120945
4.966625,9,1.135155
10.371875,13,1.155299
5.468787,8,1.168034
6.209602,13,1.188567
6.839889,10,1.204581
9.155234,13,1.224757
8.412733,13,1.245039
7.22866,12,1.263438
3.315985,7,1.274648
12.835853,23,1.310432
14.964858,17,1.336959
9.911886,15,1.360541
6.288572,9,1.374928
6.474272,9,1.388937
5.951437,10,1.404754
6.993177,11,1.42197
11.719823,14,1.443985
6.102613,12,1.46284
5.639897,8,1.475456
6.930819,13,1.496031
7.493109,10,1.511945
13.636669,20,1.543332
6.593258,10,1.559082
14.060998,18,1.587182
15.786365,19,1.616742
96.541584,53,1.697311
8.42467,24,1.734745
5.010728,17,1.761423
6.072485,10,1.777283
8.908147,12,1.796153
10.330446,18,1.824264
4.928795,11,1.841602
8.676384,13,1.861878
5.33802,9,1.875901
6.872677,18,1.904123
6.739681,9,1.918093
86.350305,62,2.013829
5.77106,12,2.032812
10.097725,16,2.057945
7.582169,11,2.075126
6.767503,9,2.089148
8.07946,11,2.108367
8.181678,10,2.12424
8.682719,11,2.141185
7.729085,28,2.184772
8.103962,10,2.200471
8.059522,15,2.223901
5.023163,8,2.23648
6.297386,11,2.253454
7.773597,11,2.270467
8.457634,20,2.301598
6.026253,10,2.317649
6.868142,10,2.333474
5.145117,8,2.346293
6.439457,9,2.360523
3.623884,24,2.397676
11.915639,24,2.434775
116.741387,64,2.532562
7.258383,12,2.551656
6.967197,11,2.568971
8.502074,14,2.590971
6.149319,19,2.621002
6.287684,9,2.63502
9.692873,16,2.660183
9.316462,13,2.680157
8.098407,12,2.698714
6.818618,14,2.720586
7.233236,11,2.737992
7.770706,10,2.753416
11.060529,20,2.784611
5.394883,8,2.797087
26.81491,24,2.834709
5.388923,11,2.851928
120.260923,83,2.980344
14.778698,21,3.013043
6.301891,10,3.028957
4.919319,18,3.057333
3.921918,7,3.068703
7.086765,12,3.087728
4.979314,8,3.100556
7.755587,14,3.122555
21.481556,25,3.161413
8.208712,17,3.188322
7.383857,10,4.896092
12.488502,16,4.920967
6.881914,10,4.936796
6.913982,11,4.954051
5.46559,9,4.968139
35.3552,34,5.021607
11.662518,19,5.051569
9.074745,12,5.070212
4.148651,8,5.083044
23.986523,24,5.120517
10.065489,14,5.142749
9.071994,11,5.159717
7.985328,10,5.175554
7.570607,13,5.196339
4.543704,8,5.209262
7.026419,9,5.223257
5.266552,9,5.237523
11.217752,21,5.270484
9.257385,17,5.297231
9.160249,24,5.335196
4.58961,8,5.348083
5.557897,10,5.36389
6.443044,10,5.37977
119.30045,70,5.486172
5.211634,9,5.500837
9.062704,11,5.517866
4.879649,10,5.53383
8.745478,13,5.554288
5.827424,24,5.592243
89.080645,55,5.676075
4.971554,10,5.692105
7.72845,13,5.712527
6.928112,13,5.733237
6.410418,10,5.749187
8.228562,11,5.766433
5.915479,9,5.780792
13.992905,22,5.815073
7.262343,11,5.832576
19.0662,20,5.86388
2.539567,22,5.898818
8.678591,24,5.93638
6.723647,9,5.950459
9.89124,26,5.990966
5.355634,9,6.00543
7.675321,13,6.025657
7.291804,20,6.057675
5.833436,10,6.073802
47.731634,47,6.146377
6.738916,9,6.160636
8.721517,12,6.179042
6.696214,16,6.204377
10.620045,15,6.228695
7.355716,11,6.246445
7.25335,22,6.281224
85.218884,62,6.376952
5.643212,19,6.407193
9.414655,14,6.429555
7.7151,11,6.447154
8.506262,21,6.480223
5.726069,9,6.49451
5.770134,9,6.509086
6.624806,9,6.523288
8.451375,13,6.544118
7.287392,10,6.560097
6.200456,10,6.5761
6.776299,9,6.590133
6.801773,13,6.61071
60.389637,40,6.672618
92.662645,67,6.762173
24.487397,38,6.813451
8.795297,12,6.829196
6.56396,12,6.846387
6.501852,9,6.857987
7.952659,11,6.871097
5.374072,10,6.885118
5.069458,13,6.902069
6.708926,14,6.920934
12.336154,14,6.938289
3.973294,8,6.949761
8.288483,20,6.976426
27.665924,24,7.008913
8.629266,11,7.024317
58.85414,38,7.074959
5.519019,8,7.086756
5.163127,9,7.099097
5.212278,8,7.10991
10.007476,19,7.13391
9.283652,13,7.151389
5.875479,12,7.168191
10.290632,19,7.191701
7.760018,10,7.205299
6.597605,10,7.218113
5.987224,8,7.228763
7.465545,24,7.261434
6.190721,10,7.274002
8.757554,11,7.288371
8.659678,12,7.306024
5.034477,9,7.319319
5.157503,14,7.337559
8.307797,15,7.357095
6.074729,11,7.372555
8.17488,10,7.385368
61.469891,52,7.452072
8.005562,13,7.47059
6.82039,12,7.485418
10.494911,22,7.513146
15.175104,22,7.540543
67.133243,43,7.598267
4.292906,10,7.612223
9.59963,27,7.645423
9.882672,13,7.662112
9.068783,20,7.689549
12.427601,26,7.722267
8.305408,12,7.738936
5.102502,8,7.748495
9.982408,15,7.767257
91.408099,60,7.84628
8.175026,12,7.861962
8.967759,12,7.877164
47.914057,42,9.448464
118.272108,72,9.559542
6.389729,10,9.575304
36.838812,29,9.619972
12.214324,14,9.641881
89.208147,72,9.753489
90.164878,66,9.85559
18.072562,20,9.886946
6.055706,9,9.901154
7.050137,13,9.921202
5.603419,9,9.935417
8.73392,20,9.966766
6.566165,11,9.98444
131.562851,70,10.092927
5.754862,8,10.105777
51.525947,30,10.154131
10.566065,16,10.179311
8.627826,12,10.19812
7.271386,10,10.214094
56.616959,42,10.278823
11.556141,16,10.304193
7.031281,9,10.318248
8.443962,12,10.336982
58.252598,38,10.39704
48.854118,42,10.462346
10.517349,19,10.492273
17.39751,18,10.52044
8.427181,11,10.537757
5.22494,9,10.552206
4.687787,9,10.566569
55.423913,33,10.617595
6.653985,11,10.634869
5.466719,8,10.647784
45.244906,34,10.700571
66.603232,42,10.765512
6.404369,21,10.798468
6.753435,9,10.812409
6.619201,9,10.826561
5.587744,10,10.842697
4.884295,7,10.854038
10.870758,15,10.877297
13.112469,17,10.903932
17.391042,31,10.953025
65.431836,40,11.014409
7.966974,17,11.041222
8.724802,11,11.05839
157.888822,99,11.209128
6.992272,10,11.225105
14.566789,22,11.259778
6.436832,10,11.275884
8.25962,14,11.298792
5.144445,9,11.313275
41.232846,41,11.376971
75.032616,43,11.444299
14.922435,18,11.472548
9.852362,14,11.494797
6.757273,9,11.508762
11.054006,15,11.532084
26.591769,33,11.583356
5.855742,10,11.599621
66.474141,40,11.662175
62.970372,37,11.719625
67.456677,42,11.784697
8.647725,11,11.802044
5.844103,10,11.817629
10.101147,15,11.840713
5.584631,11,11.858111
8.780179,27,11.90002
89.975661,63,11.995776
5.736366,10,12.011694
54.701949,56,12.097326
13.910944,22,12.133454
7.719269,13,12.15404
7.951699,12,12.173303
6.711473,9,12.187534
6.42081,9,12.201802
8.764526,13,12.222139
6.977083,13,12.242385
24.928987,29,12.287881
18.956739,17,12.314377
9.459621,16,12.339184
37.295892,29,12.384003
6.074907,11,12.401471
7.741612,10,12.414851
5.795853,11,12.42946
67.889966,40,12.482385
7.085075,10,12.496333
5.578561,8,12.507067
164.404134,95,14.235588
64.23109,43,14.296279
8.803108,14,14.316041
121.881307,72,14.415579
6.156365,12,14.432082
10.321566,13,14.44987
31.560732,25,14.484703
85.477138,51,14.552906
7.62021,10,14.567657
61.999224,38,14.61838
12.147752,20,14.649624
9.312584,11,14.666884
5.467951,14,14.689218
33.050887,28,14.733365
98.003205,57,14.821836
75.98976,56,14.909024
6.871549,11,14.926767
5.429315,9,14.941336
7.05617,10,14.956833
6.574064,9,14.970697
103.48829,59,15.060893
51.693256,48,15.134688
7.797263,10,15.150364
204.321061,92,15.29212
72.81788,63,15.388775
108.642393,59,15.480113
8.879044,17,15.507122
9.78925,12,15.525749
72.536063,53,15.606702
113.789802,79,15.729022
82.219267,65,15.830929
81.506695,48,15.906374
26.290659,39,15.96754
64.817772,39,16.029014
163.717844,121,16.216572
5.113006,9,16.231045
5.078691,8,16.243781
8.01862,17,16.270432
11.366812,15,16.293898
7.185205,11,16.31145
59.727139,39,16.37131
75.544808,48,16.447062
6.824805,10,16.463278
84.331421,49,16.539686
107.199452,59,16.629286
165.813347,91,16.770277
89.447048,65,16.871392
13.62078,15,16.894878
12.814112,14,16.916818
4.759705,7,16.92818
91.945969,53,17.010417
10.284081,25,17.049426
106.181884,77,17.169143
9.817629,14,17.191357
12.535684,18,17.219862
8.455132,13,17.240351
8.112465,12,17.259366
10.500195,12,17.278228
111.570127,71,18.941189
59.560533,40,19.002033
70.72283,45,19.070976
69.523865,39,19.130378
4.86732,9,19.144701
9.486841,12,19.163018
56.647202,39,19.22363
169.248209,85,19.354168
12.33221,24,19.39145
75.354498,48,19.464311
7.786414,16,19.489421
9.200908,12,19.50806
62.092519,42,19.572737
175.39517,85,19.69483
85.868245,51,19.761796
182.606229,92,19.860978
165.149643,80,19.971525
75.133505,75,20.085075
8.525533,11,20.101754
7.933889,14,20.123459
74.104119,44,20.190322
6.772819,9,20.204074
75.1698,47,20.27512
51.078807,35,20.328491
22.296231,24,20.365665
65.370445,40,20.426912
13.345105,29,20.470823
25.070628,22,20.505256
8.239127,12,20.524257
46.829853,32,20.57375
63.462923,39,20.6329
106.655319,59,20.72311
58.736354,38,20.781678
150.647123,104,20.938904
70.363526,42,21.003833
177.726745,83,21.130916
5.678128,8,21.14352
100.940307,72,21.253383
89.11412,82,21.3772
89.423906,59,21.466856
5.720572,10,21.482426
77.915028,44,21.549204
124.63784,63,21.644769
212.199062,96,21.790255
131.668434,71,23.655847
167.330724,79,23.795168
64.783648,50,23.883273
246.455036,130,24.110624
81.487773,52,24.202217
217.443423,95,24.369382
129.886514,69,24.491445
90.158835,50,24.579617
201.536084,91,24.739545
11.444359,16,24.768513
99.390977,69,24.890569
121.18044,66,25.006151
147.990622,83,25.15259
206.567675,101,25.32535
60.764618,37,25.388186
142.584543,74,25.509522
199.086965,89,25.649305
11.282756,13,25.669366
57.809033,35,25.725576
16.866368,17,25.752033
86.586505,48,25.829289
8.629907,23,25.866407
6.508801,10,25.882752
72.506238,43,25.949883
142.173718,73,26.062375
193.919957,87,26.191443
85.249787,49,26.263057
201.765876,91,26.401103
8.310992,11,26.419165
57.377313,33,26.469038
60.028571,37,26.525252
58.734851,38,26.580236
108.140105,71,26.682739
178.638267,83,26.782558
87.276397,50,26.860177
226.759643,102,28.777848
7.52905,11,28.795271
88.790085,51,28.874348
212.107576,94,29.019833
174.805948,84,29.148101
168.841546,87,29.283609
52.491564,31,29.332131
168.169853,83,29.460452
55.799525,34,29.511753
97.856544,57,29.594861
101.446935,55,29.679095
207.182071,97,29.82787
219.652528,101,29.984581
109.889061,81,30.108196
74.110096,42,30.172732
58.107698,35,30.226954
110.748862,60,30.317316
210.109062,113,30.490212
204.756319,93,30.632844
9.488352,14,30.654755
137.893282,68,30.75767
58.38663,38,30.817114
217.90192,96,30.964121
89.657511,55,31.047759
220.182786,97,31.196884
93.650355,53,31.277462
139.855064,69,31.383357
155.495663,76,31.500709
57.412428,34,31.553655
196.680131,89,31.690552
168.519513,80,31.814306
6.134269,8,31.826733
52.225428,33,31.877363
241.786671,116,33.622086
218.049575,99,33.774065
151.032346,74,33.888697
198.109994,90,34.024387
221.975165,100,34.177891
139.877098,70,34.28518
190.994076,90,34.423528
97.797918,56,34.509745
233.697708,112,34.681883
184.35256,87,34.81577
207.281966,96,34.960486
214.545105,95,35.085318
62.373428,37,35.131101
148.264288,72,35.222251
217.268342,95,35.347264
60.205294,37,35.395026
228.468389,101,35.520674
182.327293,83,35.624079
215.917878,96,35.751915
147.767897,78,35.855316
57.68432,36,35.903724
218.238756,102,36.038507
229.436501,100,36.169791
140.689406,70,36.245737
