# {"t_start": 1551811847.096131, "env_id": "Reacher-v2"} 
r,l,t
-153.905757,50,0.057736
-160.181627,50,0.116982
-122.8228,50,0.182177
-159.986299,50,0.247151
-113.425944,50,0.312025
-132.928075,50,0.376412
-133.024006,50,0.441279
-99.808377,50,0.506329
-131.417793,50,0.57128
-117.836289,50,0.636603
-122.78475,50,0.701425
-142.585377,50,0.766756
-115.367773,50,0.831559
-113.719134,50,0.896415
-138.110917,50,0.961571
-131.89965,50,1.027097
-122.597872,50,1.09246
-134.813011,50,1.157384
-142.424239,50,1.222285
-122.213974,50,1.289186
-132.227276,50,1.354025
-122.167329,50,1.419241
-95.905952,50,1.48452
-122.996832,50,1.550435
-116.444754,50,1.615864
-121.259015,50,1.680613
-89.587455,50,1.745775
-128.930153,50,1.810797
-126.1031,50,1.876176
-129.112902,50,1.941262
-103.060696,50,2.005912
-108.725134,50,2.071333
-125.560893,50,2.136137
-108.091044,50,2.201702
-109.768647,50,2.267279
-121.64017,50,2.332553
-148.024309,50,2.398021
-101.37265,50,2.462864
-114.984648,50,2.528444
-137.193007,50,2.594064
-97.935241,50,4.167681
-120.518444,50,4.235052
-107.257445,50,4.302471
-100.428211,50,4.369581
-125.990234,50,4.436893
-133.06574,50,4.503929
-124.01897,50,4.57125
-113.675732,50,4.638169
-131.246052,50,4.70574
-102.877325,50,4.773164
-100.63505,50,4.840141
-119.300145,50,4.90722
-117.727258,50,4.974179
-120.689428,50,5.028036
-129.412639,50,5.087056
-112.533361,50,5.139357
-110.507801,50,5.177605
-143.034657,50,5.215832
-135.887867,50,5.257979
-122.423942,50,5.306999
-147.703306,50,5.359551
-118.643368,50,5.412996
-129.785874,50,5.465042
-149.605943,50,5.518133
-116.310967,50,5.572893
-101.566885,50,5.628811
-103.234595,50,5.685121
-110.03975,50,5.73329
-170.605528,50,5.77701
-150.824331,50,5.820278
-177.538289,50,5.863494
-101.333428,50,5.906691
-136.198801,50,5.953227
-106.479497,50,6.006204
-123.737523,50,6.058538
-126.873995,50,6.112259
-128.000627,50,6.164483
-114.562021,50,6.221466
-136.408644,50,6.275407
-109.586829,50,6.332788
-114.339283,50,6.385962
-99.641304,50,7.977087
-122.664277,50,8.035011
-129.678218,50,8.092125
-116.682188,50,8.147424
-119.080084,50,8.199913
-118.768931,50,8.251546
-110.334395,50,8.305166
-94.005175,50,8.361389
-113.045954,50,8.419528
-131.313025,50,8.483912
-121.229873,50,8.551112
-93.703651,50,8.617872
-95.941372,50,8.684246
-116.471619,50,8.75055
-109.830672,50,8.81816
-99.615055,50,8.885487
-102.120345,50,8.95248
-118.26476,50,9.020154
-92.707552,50,9.087466
-112.961406,50,9.153481
-119.268505,50,9.220911
-99.465643,50,9.288541
-114.99193,50,9.355404
-89.302925,50,9.421535
-100.183001,50,9.48766
-122.485182,50,9.553591
-101.891678,50,9.620272
-103.94596,50,9.686249
-97.046705,50,9.754056
-113.646865,50,9.820707
-93.103948,50,9.887518
-124.419736,50,9.953536
-117.519938,50,10.02016
-109.948385,50,10.088006
-93.271997,50,10.154735
-65.346813,50,10.22163
-94.946698,50,10.287589
-120.67238,50,10.353619
-111.562255,50,10.421639
-116.288585,50,10.488813
-107.055727,50,10.556309
-120.516302,50,12.158326
-116.668734,50,12.224317
-96.801916,50,12.290242
-113.817645,50,12.356174
-156.223172,50,12.422577
-100.904429,50,12.488423
-78.594381,50,12.554852
-120.774847,50,12.620689
-105.446725,50,12.687928
-128.140861,50,12.755502
-100.429911,50,12.822427
-80.134239,50,12.887917
-105.997097,50,12.954823
-112.741798,50,13.021239
-103.99061,50,13.089301
-107.649686,50,13.155168
-102.280598,50,13.221049
-103.682442,50,13.287383
-88.111345,50,13.353294
-108.082659,50,13.415185
-101.631047,50,13.462677
-97.235878,50,13.514705
-97.622321,50,13.567269
-105.74257,50,13.624541
-116.077058,50,13.680773
-133.075016,50,13.731118
-95.200063,50,13.78511
-90.568595,50,13.836624
-90.828447,50,13.891594
-97.187444,50,13.945163
-96.118591,50,13.998042
-107.703833,50,14.054994
-90.208522,50,14.112714
-102.066887,50,14.167796
-108.925777,50,14.225501
-98.8386,50,14.281124
-93.586585,50,14.334662
-108.638101,50,14.391388
-92.642974,50,14.447102
-104.24661,50,14.503984
-94.897338,50,14.558496
-88.957586,50,16.162567
-89.44981,50,16.217454
-76.906137,50,16.271775
-112.068414,50,16.326116
-101.011798,50,16.382365
-90.030651,50,16.428138
-100.407653,50,16.473137
-100.657253,50,16.522722
-97.492668,50,16.579816
-96.416242,50,16.636521
-92.825457,50,16.693281
-80.061246,50,16.7449
-96.367262,50,16.795144
-118.748598,50,16.84507
-103.62486,50,16.895027
-84.974229,50,16.947299
-82.903313,50,17.013287
-100.049065,50,17.080548
-83.616619,50,17.145804
-104.040181,50,17.211246
-134.025488,50,17.277282
-94.451323,50,17.343274
-79.551628,50,17.406883
-106.10612,50,17.464183
-89.564583,50,17.519806
-98.844165,50,17.575441
-99.90972,50,17.632139
-119.655301,50,17.688884
-93.487433,50,17.746313
-91.32185,50,17.803555
-84.925683,50,17.861316
-82.671855,50,17.918359
-98.706587,50,17.974449
-99.196061,50,18.038765
-103.838375,50,18.105842
-93.32061,50,18.173424
-96.716123,50,18.240576
-75.677408,50,18.307437
-96.298904,50,18.374836
-102.049669,50,18.441716
-108.41456,50,18.508757
-84.093779,50,20.168472
-102.555048,50,20.23477
-89.258884,50,20.301321
-104.496443,50,20.367521
-81.017858,50,20.433771
-90.894026,50,20.499603
-93.08952,50,20.566186
-81.277498,50,20.632416
-76.567838,50,20.698681
-92.406731,50,20.765147
-113.384234,50,20.831416
-94.365523,50,20.897979
-82.068537,50,20.964105
-104.850214,50,21.030247
-93.983692,50,21.090672
-87.43715,50,21.146128
-88.392375,50,21.198436
-68.442363,50,21.254562
-89.920116,50,21.308366
-108.63621,50,21.358762
-88.926436,50,21.414184
-89.384964,50,21.465502
-98.758698,50,21.521445
-78.367693,50,21.577541
-91.851678,50,21.633721
-98.336636,50,21.686713
-87.486791,50,21.73917
-117.285304,50,21.796932
-92.368996,50,21.852502
-79.019914,50,21.909958
-135.729503,50,21.967266
-118.701363,50,22.026634
-104.698933,50,22.08485
-83.109337,50,22.144726
-92.346914,50,22.203472
-101.088335,50,22.261896
-94.671906,50,22.31751
-88.300876,50,22.38388
-92.524677,50,22.451125
-96.16146,50,22.518337
-102.150812,50,22.585806
-87.247902,50,24.228173
-97.505037,50,24.281285
-83.228422,50,24.33587
-81.710806,50,24.392123
-99.767318,50,24.448559
-71.938388,50,24.50492
-92.390387,50,24.561614
-87.95477,50,24.617663
-86.73172,50,24.673915
-113.52151,50,24.730305
-66.622914,50,24.786514
-74.96902,50,24.842985
-73.57192,50,24.899119
-88.094152,50,24.959953
-78.312236,50,25.025882
-99.107554,50,25.091131
-82.543334,50,25.15659
-82.164913,50,25.221883
-72.887554,50,25.287453
-81.86246,50,25.352947
-77.252354,50,25.418466
-105.738189,50,25.484007
-78.244648,50,25.549938
-80.199514,50,25.615507
-89.299305,50,25.681206
-65.127461,50,25.746711
-81.791208,50,25.812331
-94.068679,50,25.877981
-66.50913,50,25.943543
-77.450398,50,26.009132
-89.800935,50,26.074904
-83.586849,50,26.140325
-76.185448,50,26.206004
-66.177715,50,26.27157
-74.333592,50,26.337237
-73.632983,50,26.402728
-87.744388,50,26.46834
-79.017514,50,26.533836
-96.842198,50,26.599392
-72.050017,50,26.665132
-58.668637,50,26.730514
-103.75017,50,28.394322
-87.062185,50,28.461139
-81.585376,50,28.527503
-100.027539,50,28.593008
-82.085065,50,28.659109
-83.23238,50,28.724718
-71.749143,50,28.790434
-87.275293,50,28.856621
-106.282036,50,28.922586
-80.089809,50,28.988746
-106.160959,50,29.054894
-86.982458,50,29.120598
-87.319076,50,29.186476
-78.952988,50,29.252518
-58.853836,50,29.31856
-78.291203,50,29.384442
-85.610035,50,29.450351
-93.480061,50,29.516397
-61.854143,50,29.581951
-74.0889,50,29.647549
-60.603393,50,29.712889
-74.936521,50,29.774457
-64.339613,50,29.828512
-65.731496,50,29.881378
-91.493559,50,29.929685
-70.835342,50,29.985031
-75.703314,50,30.041215
-75.233604,50,30.097095
-62.029325,50,30.153213
-69.628011,50,30.205936
-85.803968,50,30.261413
-80.890966,50,30.312569
-68.524009,50,30.368969
-87.949437,50,30.426816
-62.696363,50,30.479953
-79.14281,50,30.536396
-78.853333,50,30.594934
-77.889044,50,30.652673
-63.125745,50,30.710407
-64.267377,50,30.766241
-71.679212,50,30.82344
-76.733021,50,32.46594
-89.602255,50,32.533246
-72.811752,50,32.599941
-61.396,50,32.666838
-70.495608,50,32.733454
-74.388482,50,32.791287
-73.882005,50,32.848191
-59.160589,50,32.905435
-95.327454,50,32.962749
-74.875625,50,33.019794
-68.648434,50,33.077013
-65.244009,50,33.134368
-73.53115,50,33.191666
-75.267346,50,33.249434
-73.752918,50,33.307731
-89.307638,50,33.354278
-79.116193,50,33.411859
-77.577737,50,33.467007
-62.189175,50,33.526028
-79.038141,50,33.580989
