# {"t_start": 1551815722.52454, "env_id": "Reacher-v2"} 
r,l,t
-153.905757,50,0.066784
-160.181627,50,0.112386
-122.8228,50,0.150333
-159.986299,50,0.188189
-113.425944,50,0.244261
-132.928075,50,0.293868
-133.024006,50,0.346269
-99.808377,50,0.411209
-131.417793,50,0.477214
-117.836289,50,0.542977
-122.78475,50,0.60872
-142.585377,50,0.674763
-115.367773,50,0.741243
-113.719134,50,0.807464
-138.110917,50,0.873797
-131.89965,50,0.94011
-122.597872,50,1.006545
-134.813011,50,1.072152
-142.424239,50,1.138399
-122.213974,50,1.204524
-132.227276,50,1.259541
-122.167329,50,1.311579
-95.905952,50,1.367777
-122.996832,50,1.422635
-116.444754,50,1.478613
-121.259015,50,1.535516
-89.587455,50,1.592158
-128.930153,50,1.64876
-126.1031,50,1.704885
-129.112902,50,1.760898
-103.060696,50,1.8158
-108.725134,50,1.870651
-125.560893,50,1.92584
-108.091044,50,1.980587
-109.768647,50,2.035554
-121.64017,50,2.090591
-148.024309,50,2.144991
-101.37265,50,2.199994
-114.984648,50,2.253899
-137.193007,50,2.30043
-97.833962,50,3.863512
-123.247986,50,3.929998
-104.589011,50,3.987697
-101.137821,50,4.037935
-125.170872,50,4.093397
-131.220065,50,4.148105
-120.174097,50,4.204697
-119.390876,50,4.261185
-128.685342,50,4.318623
-100.430701,50,4.371879
-97.517689,50,4.425338
-117.270967,50,4.479731
-114.908463,50,4.533364
-114.075613,50,4.582257
-105.398482,50,4.638566
-110.660106,50,4.695842
-113.859541,50,4.744213
-144.247926,50,4.788057
-129.178659,50,4.844175
-122.484621,50,4.902472
-149.213094,50,4.960139
-120.065722,50,5.017526
-128.189597,50,5.075304
-148.77744,50,5.132354
-117.607476,50,5.190344
-102.900221,50,5.2478
-102.37669,50,5.303694
-109.964654,50,5.36179
-166.690069,50,5.415635
-149.015052,50,5.461369
-176.532375,50,5.50691
-92.502251,50,5.551641
-133.140006,50,5.595925
-107.919909,50,5.640517
-123.615656,50,5.685667
-124.615111,50,5.741577
-126.636955,50,5.797683
-120.850221,50,5.855834
-137.239912,50,5.911515
-104.512159,50,5.968481
-111.200997,50,6.025436
-98.150799,50,7.626513
-110.636447,50,7.693502
-128.021685,50,7.760143
-116.684382,50,7.826525
-117.593588,50,7.892953
-115.115045,50,7.959379
-111.620055,50,8.026187
-93.685579,50,8.092499
-121.292843,50,8.158802
-118.427329,50,8.225125
-117.706531,50,8.292334
-92.234013,50,8.359434
-93.664271,50,8.426127
-118.377133,50,8.490565
-111.4459,50,8.547305
-94.262552,50,8.600956
-102.950233,50,8.658149
-119.808922,50,8.711262
-92.089044,50,8.760647
-111.376266,50,8.812086
-109.452615,50,8.868249
-97.666688,50,8.92472
-109.434865,50,8.979263
-91.755593,50,9.027451
-97.89465,50,9.077666
-121.113744,50,9.130225
-99.039586,50,9.18675
-101.354361,50,9.243409
-95.511093,50,9.297556
-112.505077,50,9.353406
-89.954573,50,9.403533
-115.045909,50,9.457469
-109.46584,50,9.513196
-98.913197,50,9.568722
-94.701404,50,9.623409
-68.214671,50,9.677856
-94.375448,50,9.730635
-120.019418,50,9.786064
-111.209795,50,9.841802
-113.357859,50,9.896913
-107.036457,50,9.954494
-114.177673,50,11.575685
-111.144153,50,11.632249
-95.140311,50,11.681078
-106.474624,50,11.729806
-128.489934,50,11.772896
-94.782825,50,11.815951
-78.393036,50,11.861853
-119.02183,50,11.906983
-100.271032,50,11.952277
-110.053255,50,11.997578
-91.844506,50,12.04326
-81.639145,50,12.088958
-103.01208,50,12.134722
-107.096132,50,12.180598
-97.071707,50,12.225344
-101.380633,50,12.273706
-94.599206,50,12.33011
-91.301689,50,12.38587
-81.738235,50,12.438176
-103.601461,50,12.500593
-95.866171,50,12.567545
-99.980123,50,12.634274
-83.213106,50,12.700627
-108.168668,50,12.767353
-117.866124,50,12.833155
-124.376718,50,12.899624
-84.125971,50,12.966526
-91.061919,50,13.032936
-89.812855,50,13.098552
-93.802824,50,13.165304
-95.732613,50,13.232149
-98.746256,50,13.297669
-91.604373,50,13.364427
-95.287081,50,13.430844
-111.880228,50,13.497766
-98.373113,50,13.564594
-88.875258,50,13.630064
-113.361551,50,13.695265
-92.496104,50,13.761299
-102.07428,50,13.827855
-90.089541,50,13.893133
-88.173851,50,15.332929
-84.267118,50,15.379405
-80.673907,50,15.439119
-97.247353,50,15.500537
-94.354252,50,15.561839
-86.997186,50,15.623411
-82.054538,50,15.682182
-99.825395,50,15.728605
-98.475558,50,15.773258
-95.07214,50,15.820338
-90.031873,50,15.873737
-67.095923,50,15.928784
-99.901323,50,15.980127
-102.659238,50,16.030323
-99.902538,50,16.079924
-89.260294,50,16.137155
-79.156252,50,16.190966
-98.247474,50,16.245937
-84.345833,50,16.301456
-95.814711,50,16.357302
-119.170104,50,16.410984
-92.285088,50,16.465406
-77.799525,50,16.522017
-96.242508,50,16.576889
-82.152896,50,16.632558
-88.21583,50,16.686528
-102.179082,50,16.752065
-120.475124,50,16.817326
-89.543609,50,16.882714
-81.417757,50,16.947874
-80.514029,50,17.013008
-88.220859,50,17.078041
-101.129382,50,17.143027
-96.749815,50,17.208226
-96.302718,50,17.273319
-90.203168,50,17.338586
-99.700044,50,17.403841
-73.497902,50,17.469032
-91.179971,50,17.534321
-108.156323,50,17.599616
-99.630474,50,17.664946
-85.198586,50,19.271659
-95.152844,50,19.329087
-88.367914,50,19.386074
-96.438046,50,19.44308
-84.191216,50,19.499104
-96.858766,50,19.556864
-85.977293,50,19.614672
-78.487237,50,19.672539
-72.824912,50,19.73049
-79.981945,50,19.787713
-98.812681,50,19.845762
-78.748838,50,19.894793
-82.400828,50,19.938843
-105.377941,50,19.9893
-93.594325,50,20.04331
-88.982659,50,20.093711
