# {"t_start": 1551815721.2028127, "env_id": "Walker2d-v2"} 
r,l,t
-1.266625,17,0.022605
-2.459314,12,0.035396
-5.471976,14,0.057506
-10.733288,17,0.084089
-1.282717,9,0.097577
2.807288,14,0.117465
-2.883096,9,0.130338
-3.073456,17,0.154042
7.754022,37,0.21005
4.524686,15,0.233367
5.552462,19,0.262963
-1.704381,13,0.2837
-5.674461,13,0.304639
-1.212167,12,0.324005
2.846148,16,0.349477
-2.642783,11,0.367192
2.919635,15,0.391022
-2.129995,13,0.411867
-3.601882,15,0.435926
-9.593701,20,0.46688
-5.036448,13,0.487512
-2.31061,8,0.500766
-5.295364,11,0.516644
-7.684997,12,0.534266
-10.855227,16,0.557045
-2.182638,12,0.574771
-5.383442,12,0.59262
-2.622489,12,0.609827
-4.704612,13,0.628792
-3.721932,11,0.644982
9.366295,33,0.692229
-0.151377,12,0.710054
-0.843222,22,0.741346
-1.30892,17,0.765159
-4.419689,13,0.784051
-1.211858,10,0.798666
-0.257755,12,0.816305
11.282553,26,0.854008
2.531367,17,0.878722
-0.717156,13,0.897552
-2.24187,16,0.920858
-2.089777,10,0.935321
-5.469337,12,0.952858
-7.682895,13,0.971557
-1.088023,15,0.993712
-2.65156,18,1.019493
3.72725,18,1.043855
1.539126,18,1.061731
-6.12934,18,1.078735
-1.885447,12,1.090241
-3.968174,14,1.103323
-2.670441,13,1.115851
4.316555,14,1.129024
-5.169743,15,1.14317
-7.654915,15,1.157256
0.95291,14,1.170655
-3.237857,13,1.183138
-8.167574,12,1.194488
-7.111555,17,1.21013
-1.124632,15,1.224254
-3.329397,14,1.237463
-2.480124,34,1.282059
7.415926,24,1.313929
-8.091217,10,1.327362
-4.768961,10,1.340215
-2.07234,14,1.357351
-1.028987,13,1.373544
-7.992837,19,1.399062
-7.682421,26,1.440042
-4.280992,13,1.461878
-4.202414,13,1.483708
-1.078064,11,1.502472
-4.436254,13,1.524627
-2.806792,29,1.572091
-1.845996,9,1.58731
-0.710099,11,1.605092
-7.085615,18,1.635276
-0.072365,14,1.658467
-6.028447,12,1.678679
0.981369,24,1.71824
2.313495,13,1.740113
-4.62466,21,1.77437
-7.372975,14,1.797486
-3.256553,9,1.812929
-6.487644,23,1.85079
-7.037443,20,1.883816
-4.507979,13,1.905472
1.384343,24,1.944772
-4.916374,14,1.968121
-4.407027,29,2.015769
-3.462151,10,2.032775
-4.147343,21,2.06685
-10.129636,18,2.096551
-3.645754,14,2.119946
-1.521933,13,2.141348
-8.400796,18,2.171304
-4.589315,16,2.197749
-3.254552,12,2.218068
-6.865392,13,2.239864
1.158248,18,2.269631
-4.855623,10,2.286733
-5.9718,10,2.303214
-6.629074,19,2.334748
-8.244455,13,2.356642
-4.948297,12,2.376905
-2.388365,14,2.399999
-4.955473,16,2.426382
-2.910934,15,2.451304
-3.074757,7,2.463554
-0.214334,10,2.480871
-2.394975,15,2.505716
-1.501427,11,2.524342
-5.452789,13,2.546203
1.007248,38,2.607926
-5.485021,13,2.62995
-0.177509,22,2.666041
-1.604501,14,2.689054
-4.040728,9,2.703785
-9.18678,11,2.721676
-4.630215,14,2.745378
-0.988287,13,2.767335
-2.934164,16,2.79639
-8.416805,18,2.825753
-3.221499,14,2.849265
-3.828794,13,2.870604
-0.509936,14,2.89385
-2.857465,14,2.917252
0.994776,14,2.940637
-5.12077,11,2.959068
-7.514815,25,3.000582
-11.790876,15,3.025753
-1.321163,13,3.047674
-10.166115,13,3.069494
-2.870761,18,4.69747
-5.228202,12,4.714287
0.028583,19,4.740759
-0.228186,16,4.764629
-2.949859,13,4.784161
-2.944265,14,4.804762
-2.456852,16,4.828422
3.557676,33,4.876431
-7.802748,16,4.899757
-1.654298,23,4.932097
-4.029142,13,4.952469
-0.595531,32,4.998041
