# {"t_start": 1551811844.7996786, "env_id": "Walker2d-v2"} 
r,l,t
-1.266625,17,0.022642
-2.459314,12,0.034119
-5.471976,14,0.047413
-10.733288,17,0.064005
-1.282717,9,0.077231
2.807288,14,0.099135
-2.883096,9,0.113684
-3.073456,17,0.132659
7.754022,37,0.166706
4.524686,15,0.180476
5.552462,19,0.200457
-1.704381,13,0.219374
-5.674461,13,0.239939
-1.212167,12,0.258893
2.846148,16,0.27543
-2.642783,11,0.286044
2.919635,15,0.300074
-2.129995,13,0.312348
-3.601882,15,0.32639
-9.593701,20,0.346695
-5.036448,13,0.358935
-2.31061,8,0.366891
-5.295364,11,0.377407
-7.684997,12,0.388894
-10.855227,16,0.403661
-2.182638,12,0.415145
-5.383442,12,0.427649
-2.622489,12,0.440061
-4.704612,13,0.452392
-3.721932,11,0.462974
9.366295,33,0.493253
-0.151377,12,0.50492
-0.843222,22,0.525279
-1.30892,17,0.5409
-4.419689,13,0.553155
-1.211858,10,0.562772
-0.257755,12,0.574272
11.282553,26,0.599263
2.531367,17,0.616426
-0.717156,13,0.628624
-2.24187,16,0.643739
-2.089777,10,0.6532
-5.469337,12,0.664477
-7.682895,13,0.676811
-1.088023,15,0.691159
-2.65156,18,0.707717
3.72725,18,0.727086
1.539126,18,0.743984
-6.12934,18,0.760869
-1.885447,12,0.772188
-3.968174,14,0.785072
-2.670441,13,0.797379
4.316555,14,0.812738
-5.169743,15,0.829443
-7.654915,15,0.843436
0.95291,14,0.856817
-3.237857,13,0.869184
-8.167574,12,0.880591
-7.111555,17,0.896384
-1.124632,15,0.910432
-3.329397,14,0.923587
-2.480124,34,0.95475
7.415926,24,0.976773
-8.091217,10,0.986654
-4.768961,10,0.99617
-2.07234,14,1.008837
-1.028987,13,1.020939
-7.992837,19,1.040761
-7.682421,26,1.064569
-4.280992,13,1.076861
-4.202414,13,1.089147
-1.078064,11,1.099696
-4.436254,13,1.112089
-2.806792,29,1.138508
-1.845996,9,1.147114
-0.710099,11,1.157798
-7.085615,18,1.185644
-0.072365,14,1.207515
-6.028447,12,1.222304
0.981369,24,1.244363
2.313495,13,1.256718
-4.62466,21,1.275873
-7.372975,14,1.290301
-3.256553,9,1.29918
-6.487644,23,1.320586
-7.037443,20,1.33912
-4.507979,13,1.351584
1.384343,24,1.373469
-4.916374,14,1.386608
-4.407027,29,1.413145
-3.462151,10,1.422743
-4.147343,21,1.441874
